symbol,name,sector,market_cap,change_pct
CRM,Salesforce,Information Technology,235745871459.96094,3.299304035077829
SNDK,Sandisk,Information Technology,31290568443.249344,9.862124543366736
SBAC,SBA Communications,Real Estate,20205410495.040894,1.2117029555006007
SLB,Schlumberger,Energy,56873672328.54069,1.358194797849994
STX,Seagate Technology,Information Technology,57906034246.1629,2.748670113456674
SRE,Sempra,Utilities,58969774426.437035,-0.407806384759442
NOW,ServiceNow,Information Technology,173751963707.2754,0.220910765563598
SHW,Sherwin-Williams,Materials,84401823234.05566,-0.2151811371783348
SPG,Simon Property Group,Real Estate,68821416546.20558,0.08227860338641321
SWKS,Skyworks Solutions,Information Technology,10328783664.453857,0.14415232832900648
SJM,J.M. Smucker Company (The),Consumer Staples,10703574852.079475,-0.03985742854132455
SW,Smurfit Westrock,Materials,19239955855.74948,1.9933589202505406
SNA,Snap-on,Industrials,18287433904.74411,1.8121595808614352
SOLS,Solstice Advanced Materials,Materials,7484015535.525879,-0.8826970559390033
SOLV,Solventum,Health Care,14806350332.781044,0.13489485486162023
SO,Southern Company,Utilities,96467795967.29106,-0.42623321856289376
LUV,Southwest Airlines,Industrials,18830605101.638145,0.4904687095396726
SWK,Stanley Black & Decker,Industrials,11159462128.871399,-0.661789239787046
SBUX,Starbucks,Consumer Discretionary,97153826776.12305,-1.9285963648313205
STT,State Street Corporation,Financials,34619342359.98221,0.9346544575320708
STLD,Steel Dynamics,Materials,24637631509.527588,-2.4081661124271134
STE,Steris,Health Care,25624302545.69571,0.3276816204763778
SYK,Stryker Corporation,Health Care,139076013203.24316,-0.6230355795170726
SMCI,Supermicro,Information Technology,20370266723.343327,1.336106766217277
SYF,Synchrony Financial,Financials,29935749971.45114,1.6677191021817368
SNPS,Synopsys,Information Technology,88622855794.0091,-0.26798730671840776
SYY,Sysco,Consumer Staples,35167557121.734375,0.10905374916722498
TMUS,T-Mobile US,Communication Services,233642614783.28613,-0.4340313669075488
TROW,T. Rowe Price,Financials,23245873274.117706,0.6282684564889216
TTWO,Take-Two Interactive,Communication Services,45229237474.99951,-0.07144439842340171
TPR,"Tapestry, Inc.",Consumer Discretionary,23768372480.206932,2.591137931847801
TRGP,Targa Resources,Energy,38588204476.7522,2.0487173221641637
TGT,Target Corporation,Consumer Staples,41348051811.29954,0.03299469852730529
TEL,TE Connectivity,Information Technology,68835293390.4961,1.2521660968090818
TDY,Teledyne Technologies,Information Technology,24301362622.220764,2.7045867988521812
TER,Teradyne,Information Technology,31743123796.053894,2.334935735609647
TSLA,"Tesla, Inc.",Consumer Discretionary,1494644123011.4863,0.6491526340726848
TXN,Texas Instruments,Information Technology,164353816482.81342,-1.0241020336639293
TPL,Texas Pacific Land Corporation,Energy,20942256200.238464,-0.3685583526592651
TXT,Textron,Industrials,14877469161.84288,-0.25686540708427136
TMO,Thermo Fisher Scientific,Health Care,215537136722.7555,-1.1610191404016763
TJX,TJX Companies,Consumer Discretionary,167630829241.34875,0.3731824388275686
TKO,TKO Group Holdings,Communication Services,16226551912.14148,1.3622364609754696
TTD,Trade Desk (The),Communication Services,19244791622.267044,1.9425019117946367
TSCO,Tractor Supply,Consumer Discretionary,28583993116.54892,0.04623918257817096
TT,Trane Technologies,Industrials,90820756081.0198,-0.22368018396339232
TDG,TransDigm Group,Industrials,76687950311.95801,1.7635949079755777
TRV,Travelers Companies (The),Financials,63937447743.75183,-0.0958565679140402
TRMB,Trimble Inc.,Information Technology,19720499473.381638,0.64368038895274
TFC,Truist Financial,Financials,61609210705.24246,0.7591746610132132
TYL,Tyler Technologies,Information Technology,20198074530.91931,1.0912888846540074
TSN,Tyson Foods,Consumer Staples,20028758364.084663,-0.08805783398286651
USB,U.S. Bancorp,Financials,79964792430.39267,0.9031986682040303
UBER,Uber,Industrials,188688688805.092,-0.2076544836701258
UDR,"UDR, Inc.",Real Estate,13331477734.202328,-0.9510493778682256
ULTA,Ulta Beauty,Consumer Discretionary,24228378260.629517,-1.0061743561784362
UNP,Union Pacific Corporation,Industrials,140697761060.61664,0.8374787469642807
UAL,United Airlines Holdings,Industrials,34560648126.52206,-1.590160444445976
UPS,United Parcel Service,Industrials,81487439373.01738,-2.191122355338063
URI,United Rentals,Industrials,51925298275.65674,-0.814829789652018
UNH,UnitedHealth Group,Health Care,302124353822.83997,-1.8191966180654617
UHS,Universal Health Services,Health Care,14766403899.236847,0.8190353315728652
VLO,Valero Energy,Energy,54798965921.93222,-0.36713309464525534
VTR,Ventas,Real Estate,38041313038.34216,1.2312507629394531
VLTO,Veralto,Industrials,25592007273.375664,0.8905813564268987
VRSN,Verisign,Information Technology,23225112755.14792,-0.5201260458747791
VRSK,Verisk Analytics,Industrials,31264019881.36676,-0.3162827283460357
VZ,Verizon,Communication Services,173737819994.75067,1.315475009088866
VRTX,Vertex Pharmaceuticals,Health Care,117583289226.1224,-1.0396654051003686
VTRS,Viatris,Health Care,12410176202.231777,-0.8330309845613855
VICI,Vici Properties,Real Estate,29932061547.872803,-1.0777328835674833
V,Visa Inc.,Financials,629835645252.0,-1.5366560932387465
VST,Vistra Corp.,Utilities,60019547091.79733,3.1937673378163565
VMC,Vulcan Materials Company,Materials,38535316337.09152,-0.28025815457879977
WRB,W. R. Berkley Corporation,Financials,26897898231.826965,-1.2072544945544865
GWW,W. W. Grainger,Industrials,46605106378.84473,0.32795807556617124
WAB,Wabtec,Industrials,36735280962.431885,0.6699498500892759
WMT,Walmart,Consumer Staples,909647969294.4006,-0.3802160423602429
DIS,Walt Disney Company (The),Communication Services,188747099928.8645,-0.6998277650080056
WBD,Warner Bros. Discovery,Communication Services,60375848344.62164,-0.81399616636117
WM,Waste Management,Industrials,86495554620.24733,-0.6708290488949079
WAT,Waters Corporation,Health Care,23638863719.051514,-0.1408373737414051
WEC,WEC Energy Group,Utilities,34699137265.208435,-0.5778756093684613
WFC,Wells Fargo,Financials,289478958098.36127,1.1247956351152988
WELL,Welltower,Real Estate,140282023281.29474,1.225735997404676
WST,West Pharmaceutical Services,Health Care,20290560466.884644,-0.8001807590376836
WDC,Western Digital,Information Technology,54957563123.15616,3.049688596734684
WY,Weyerhaeuser,Real Estate,15498055949.718475,-1.7823548716621291
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,21260510384.80478,-0.14018167832993517
WMB,Williams Companies,Energy,76839088875.52147,2.217711934015591
WTW,Willis Towers Watson,Financials,31221210081.365723,1.1215328110003273
WDAY,"Workday, Inc.",Information Technology,57419683044.43359,0.10007277115779153
WYNN,Wynn Resorts,Consumer Discretionary,12895169149.597687,-5.694516789540542
XEL,Xcel Energy,Utilities,46069115896.52749,-0.6505959181035733
XYL,Xylem Inc.,Industrials,34242098138.78267,-0.17566722951659997
YUM,Yum! Brands,Consumer Discretionary,40580348883.563324,-1.5923817836858152
ZBRA,Zebra Technologies,Information Technology,13419555939.94629,1.7698406917443326
ZBH,Zimmer Biomet,Health Care,18306030779.671898,-0.7840985386718118
ZTS,Zoetis,Health Care,53465653791.582275,-1.5746106795962402
